Rk,Player,Pos,Tm,Cap Hit
434,Derek Anderson\AndeDe00,QB,CAR,$1550000
,Zach Brown\BrowZa00,OLB,WAS,$1550000
,Garrett Celek\CeleGa00,TE,SFO,$1550000
,Josh Martin\MartJo02,LB,NYJ,$1550000
438,Desmond Trufant\TrufDe00,CB,ATL,$1526000
439,Austin Howard\HowaAu20,T,BAL,$1525000
440,Jalen Ramsey\RamsJa00,FS,JAX,$1511409
441,Jason McCourty\McCoJa99,DB,CLE,$1500000
,Lerentee McCray\McCrLe01,LB,JAX,$1500000
,Jahleel Addae\AddaJa00,S,LAC,$1500000
,Chris Hairston\HairCh00,OL,LAC,$1500000
,Alejandro Villanueva\VillAl00,OL,PIT,$1500000
,Duron Harmon\HarmDu00,FS,NWE,$1500000
,Ryan Groy\GroyRy00,OG,BUF,$1500000
,Robbie Gould\gouldrob01,K,SFO,$1500000
,Jamize Olawale\OlawJa00,FB,OAK,$1500000
,Benson Mayowa\MayoBe00,DE,DAL,$1500000
,Menelik Watson\WatsMe00,OT,DEN,$1500000
,Barkevious Mingo\MingBa00,OLB,IND,$1500000
,John Simon\SimoJo01,DE,IND,$1500000
,Anthony Fasano\FasaAn00,TE,MIA,$1500000
,Chris Conte\ContCh00,DB,TAM,$1500000
,Keenan Robinson\RobiKe01,OLB,NYG,$1500000
,Bryan Anger\AngeBr00,P,TAM,$1500000
,Davon House\HousDa00,DB,GNB,$1500000
,Shane Lechler\LechSh20,P,HOU,$1500000
,Zach Miller\MillZa02,TE,CHI,$1500000
,Jordan Poyer\PoyeJo00,CB,BUF,$1500000
,Mike Gillislee\GillMi00,RB,NWE,$1500000
,Kelvin Beachum\BeacKe00,T,NYJ,$1500000
,D.J. Fluker\FlukDJ00,OT,NYG,$1500000
,Levine Toilolo\ToilLe00,TE,ATL,$1500000
466,Danny Shelton\ShelDa01,DT,CLE,$1498970
467,Jermon Bushrod\BushJe20,T,MIA,$1475000
468,Deone Bucannon\BucaDe00,SS,ARI,$1471255
469,Jeff Heath\HeatJe00,S,DAL,$1471000
470,Andrus Peat\PeatAn00,OT,NOR,$1470773
